Year,Race,Driver,Constructor,Position,Points
2014,Belgian Grand Prix,Ricciardo,Red Bull,1,25.0
2014,Belgian Grand Prix,Rosberg,Mercedes,2,18.0
2014,Belgian Grand Prix,Bottas,Williams,3,15.0
2014,Belgian Grand Prix,Räikkönen,Ferrari,4,12.0
2014,Belgian Grand Prix,Vettel,Red Bull,5,10.0
2014,Belgian Grand Prix,Button,McLaren,6,8.0
2014,Belgian Grand Prix,Alonso,Ferrari,7,6.0
2014,Belgian Grand Prix,Pérez,Force India,8,4.0
2014,Belgian Grand Prix,Kvyat,Toro Rosso,9,2.0
2014,Belgian Grand Prix,Hülkenberg,Force India,10,1.0
2014,Belgian Grand Prix,Vergne,Toro Rosso,11,0.0
2014,Belgian Grand Prix,Magnussen,McLaren,12,0.0
2014,Belgian Grand Prix,Massa,Williams,13,0.0
2014,Belgian Grand Prix,Sutil,Sauber,14,0.0
2014,Belgian Grand Prix,Gutiérrez,Sauber,15,0.0
2014,Belgian Grand Prix,Chilton,Marussia,16,0.0
2014,Belgian Grand Prix,Ericsson,Caterham,17,0.0
2014,Belgian Grand Prix,Bianchi,Marussia,18,0.0
2014,Belgian Grand Prix,Hamilton,Mercedes,19,0.0
2014,Belgian Grand Prix,Grosjean,Lotus F1,20,0.0
2014,Belgian Grand Prix,Maldonado,Lotus F1,21,0.0
2014,Belgian Grand Prix,Lotterer,Caterham,22,0.0
2014,Brazilian Grand Prix,Rosberg,Mercedes,1,25.0
2014,Brazilian Grand Prix,Hamilton,Mercedes,2,18.0
2014,Brazilian Grand Prix,Massa,Williams,3,15.0
2014,Brazilian Grand Prix,Button,McLaren,4,12.0
2014,Brazilian Grand Prix,Vettel,Red Bull,5,10.0
2014,Brazilian Grand Prix,Alonso,Ferrari,6,8.0
2014,Brazilian Grand Prix,Räikkönen,Ferrari,7,6.0
2014,Brazilian Grand Prix,Hülkenberg,Force India,8,4.0
2014,Brazilian Grand Prix,Magnussen,McLaren,9,2.0
