Year,Race,Driver,Constructor,Position,Points
2016,British Grand Prix,Gutiérrez,Haas F1 Team,16,0.0
2016,British Grand Prix,Magnussen,Renault,17,0.0
2016,British Grand Prix,Palmer,Renault,18,0.0
2016,British Grand Prix,Haryanto,Manor Marussia,19,0.0
2016,British Grand Prix,Grosjean,Haas F1 Team,20,0.0
2016,British Grand Prix,Ericsson,Sauber,21,0.0
2016,British Grand Prix,Wehrlein,Manor Marussia,22,0.0
2016,Canadian Grand Prix,Hamilton,Mercedes,1,25.0
2016,Canadian Grand Prix,Vettel,Ferrari,2,18.0
2016,Canadian Grand Prix,Bottas,Williams,3,15.0
2016,Canadian Grand Prix,Verstappen,Red Bull,4,12.0
2016,Canadian Grand Prix,Rosberg,Mercedes,5,10.0
2016,Canadian Grand Prix,Räikkönen,Ferrari,6,8.0
2016,Canadian Grand Prix,Ricciardo,Red Bull,7,6.0
2016,Canadian Grand Prix,Hülkenberg,Force India,8,4.0
2016,Canadian Grand Prix,Sainz,Toro Rosso,9,2.0
2016,Canadian Grand Prix,Pérez,Force India,10,1.0
2016,Canadian Grand Prix,Alonso,McLaren,11,0.0
2016,Canadian Grand Prix,Kvyat,Toro Rosso,12,0.0
2016,Canadian Grand Prix,Gutiérrez,Haas F1 Team,13,0.0
2016,Canadian Grand Prix,Grosjean,Haas F1 Team,14,0.0
2016,Canadian Grand Prix,Ericsson,Sauber,15,0.0
2016,Canadian Grand Prix,Magnussen,Renault,16,0.0
2016,Canadian Grand Prix,Wehrlein,Manor Marussia,17,0.0
2016,Canadian Grand Prix,Nasr,Sauber,18,0.0
2016,Canadian Grand Prix,Haryanto,Manor Marussia,19,0.0
2016,Canadian Grand Prix,Massa,Williams,20,0.0
2016,Canadian Grand Prix,Palmer,Renault,21,0.0
2016,Canadian Grand Prix,Button,McLaren,22,0.0
2016,Chinese Grand Prix,Rosberg,Mercedes,1,25.0
2016,Chinese Grand Prix,Vettel,Ferrari,2,18.0
2016,Chinese Grand Prix,Kvyat,Red Bull,3,15.0
2016,Chinese Grand Prix,Ricciardo,Red Bull,4,12.0
2016,Chinese Grand Prix,Räikkönen,Ferrari,5,10.0
2016,Chinese Grand Prix,Massa,Williams,6,8.0
2016,Chinese Grand Prix,Hamilton,Mercedes,7,6.0
2016,Chinese Grand Prix,Verstappen,Toro Rosso,8,4.0
2016,Chinese Grand Prix,Sainz,Toro Rosso,9,2.0
2016,Chinese Grand Prix,Bottas,Williams,10,1.0
2016,Chinese Grand Prix,Pérez,Force India,11,0.0
2016,Chinese Grand Prix,Alonso,McLaren,12,0.0
2016,Chinese Grand Prix,Button,McLaren,13,0.0
2016,Chinese Grand Prix,Gutiérrez,Haas F1 Team,14,0.0
2016,Chinese Grand Prix,Hülkenberg,Force India,15,0.0
2016,Chinese Grand Prix,Ericsson,Sauber,16,0.0
2016,Chinese Grand Prix,Magnussen,Renault,17,0.0
2016,Chinese Grand Prix,Wehrlein,Manor Marussia,18,0.0
2016,Chinese Grand Prix,Grosjean,Haas F1 Team,19,0.0
2016,Chinese Grand Prix,Nasr,Sauber,20,0.0
2016,Chinese Grand Prix,Haryanto,Manor Marussia,21,0.0
2016,Chinese Grand Prix,Palmer,Renault,22,0.0
2016,European Grand Prix,Rosberg,Mercedes,1,25.0
2016,European Grand Prix,Vettel,Ferrari,2,18.0
2016,European Grand Prix,Pérez,Force India,3,15.0
2016,European Grand Prix,Räikkönen,Ferrari,4,12.0
2016,European Grand Prix,Hamilton,Mercedes,5,10.0
2016,European Grand Prix,Bottas,Williams,6,8.0
2016,European Grand Prix,Ricciardo,Red Bull,7,6.0
2016,European Grand Prix,Verstappen,Red Bull,8,4.0
2016,European Grand Prix,Hülkenberg,Force India,9,2.0
2016,European Grand Prix,Massa,Williams,10,1.0
2016,European Grand Prix,Button,McLaren,11,0.0
2016,European Grand Prix,Nasr,Sauber,12,0.0
2016,European Grand Prix,Grosjean,Haas F1 Team,13,0.0
2016,European Grand Prix,Magnussen,Renault,14,0.0
2016,European Grand Prix,Palmer,Renault,15,0.0
2016,European Grand Prix,Gutiérrez,Haas F1 Team,16,0.0
2016,European Grand Prix,Ericsson,Sauber,17,0.0
2016,European Grand Prix,Haryanto,Manor Marussia,18,0.0
2016,European Grand Prix,Alonso,McLaren,19,0.0
2016,European Grand Prix,Wehrlein,Manor Marussia,20,0.0
2016,European Grand Prix,Sainz,Toro Rosso,21,0.0
2016,European Grand Prix,Kvyat,Toro Rosso,22,0.0
2016,German Grand Prix,Hamilton,Mercedes,1,25.0
2016,German Grand Prix,Ricciardo,Red Bull,2,18.0
2016,German Grand Prix,Verstappen,Red Bull,3,15.0
2016,German Grand Prix,Rosberg,Mercedes,4,12.0
2016,German Grand Prix,Vettel,Ferrari,5,10.0
2016,German Grand Prix,Räikkönen,Ferrari,6,8.0
2016,German Grand Prix,Hülkenberg,Force India,7,6.0
2016,German Grand Prix,Button,McLaren,8,4.0
2016,German Grand Prix,Bottas,Williams,9,2.0
2016,German Grand Prix,Pérez,Force India,10,1.0
2016,German Grand Prix,Gutiérrez,Haas F1 Team,11,0.0
2016,German Grand Prix,Alonso,McLaren,12,0.0
2016,German Grand Prix,Grosjean,Haas F1 Team,13,0.0
2016,German Grand Prix,Sainz,Toro Rosso,14,0.0
2016,German Grand Prix,Kvyat,Toro Rosso,15,0.0
2016,German Grand Prix,Magnussen,Renault,16,0.0
2016,German Grand Prix,Wehrlein,Manor Marussia,17,0.0
2016,German Grand Prix,Ericsson,Sauber,18,0.0
2016,German Grand Prix,Palmer,Renault,19,0.0
2016,German Grand Prix,Haryanto,Manor Marussia,20,0.0
2016,German Grand Prix,Nasr,Sauber,21,0.0
2016,German Grand Prix,Massa,Williams,22,0.0
2016,Hungarian Grand Prix,Hamilton,Mercedes,1,25.0
2016,Hungarian Grand Prix,Rosberg,Mercedes,2,18.0
2016,Hungarian Grand Prix,Ricciardo,Red Bull,3,15.0
2016,Hungarian Grand Prix,Vettel,Ferrari,4,12.0
2016,Hungarian Grand Prix,Verstappen,Red Bull,5,10.0
2016,Hungarian Grand Prix,Räikkönen,Ferrari,6,8.0
2016,Hungarian Grand Prix,Alonso,McLaren,7,6.0
2016,Hungarian Grand Prix,Sainz,Toro Rosso,8,4.0
2016,Hungarian Grand Prix,Bottas,Williams,9,2.0
2016,Hungarian Grand Prix,Hülkenberg,Force India,10,1.0
2016,Hungarian Grand Prix,Pérez,Force India,11,0.0
2016,Hungarian Grand Prix,Palmer,Renault,12,0.0
2016,Hungarian Grand Prix,Gutiérrez,Haas F1 Team,13,0.0
2016,Hungarian Grand Prix,Grosjean,Haas F1 Team,14,0.0
2016,Hungarian Grand Prix,Magnussen,Renault,15,0.0
2016,Hungarian Grand Prix,Kvyat,Toro Rosso,16,0.0
2016,Hungarian Grand Prix,Nasr,Sauber,17,0.0
2016,Hungarian Grand Prix,Massa,Williams,18,0.0
2016,Hungarian Grand Prix,Wehrlein,Manor Marussia,19,0.0
2016,Hungarian Grand Prix,Ericsson,Sauber,20,0.0
2016,Hungarian Grand Prix,Haryanto,Manor Marussia,21,0.0
2016,Hungarian Grand Prix,Button,McLaren,22,0.0
2016,Italian Grand Prix,Rosberg,Mercedes,1,25.0
2016,Italian Grand Prix,Hamilton,Mercedes,2,18.0
2016,Italian Grand Prix,Vettel,Ferrari,3,15.0
2016,Italian Grand Prix,Räikkönen,Ferrari,4,12.0
2016,Italian Grand Prix,Ricciardo,Red Bull,5,10.0
2016,Italian Grand Prix,Bottas,Williams,6,8.0
2016,Italian Grand Prix,Verstappen,Red Bull,7,6.0
2016,Italian Grand Prix,Pérez,Force India,8,4.0
2016,Italian Grand Prix,Massa,Williams,9,2.0
2016,Italian Grand Prix,Hülkenberg,Force India,10,1.0
2016,Italian Grand Prix,Grosjean,Haas F1 Team,11,0.0
2016,Italian Grand Prix,Button,McLaren,12,0.0
2016,Italian Grand Prix,Gutiérrez,Haas F1 Team,13,0.0
2016,Italian Grand Prix,Alonso,McLaren,14,0.0
2016,Italian Grand Prix,Sainz,Toro Rosso,15,0.0
2016,Italian Grand Prix,Ericsson,Sauber,16,0.0
2016,Italian Grand Prix,Magnussen,Renault,17,0.0
2016,Italian Grand Prix,Ocon,Manor Marussia,18,0.0
2016,Italian Grand Prix,Kvyat,Toro Rosso,19,0.0
2016,Italian Grand Prix,Wehrlein,Manor Marussia,20,0.0
2016,Italian Grand Prix,Palmer,Renault,21,0.0
2016,Italian Grand Prix,Nasr,Sauber,22,0.0
2016,Japanese Grand Prix,Rosberg,Mercedes,1,25.0
2016,Japanese Grand Prix,Verstappen,Red Bull,2,18.0
2016,Japanese Grand Prix,Hamilton,Mercedes,3,15.0
2016,Japanese Grand Prix,Vettel,Ferrari,4,12.0
2016,Japanese Grand Prix,Räikkönen,Ferrari,5,10.0
2016,Japanese Grand Prix,Ricciardo,Red Bull,6,8.0
2016,Japanese Grand Prix,Pérez,Force India,7,6.0
2016,Japanese Grand Prix,Hülkenberg,Force India,8,4.0
2016,Japanese Grand Prix,Massa,Williams,9,2.0
2016,Japanese Grand Prix,Bottas,Williams,10,1.0
2016,Japanese Grand Prix,Grosjean,Haas F1 Team,11,0.0
2016,Japanese Grand Prix,Palmer,Renault,12,0.0
2016,Japanese Grand Prix,Kvyat,Toro Rosso,13,0.0
2016,Japanese Grand Prix,Magnussen,Renault,14,0.0
2016,Japanese Grand Prix,Ericsson,Sauber,15,0.0
2016,Japanese Grand Prix,Alonso,McLaren,16,0.0
2016,Japanese Grand Prix,Sainz,Toro Rosso,17,0.0
2016,Japanese Grand Prix,Button,McLaren,18,0.0
2016,Japanese Grand Prix,Nasr,Sauber,19,0.0
2016,Japanese Grand Prix,Gutiérrez,Haas F1 Team,20,0.0
2016,Japanese Grand Prix,Ocon,Manor Marussia,21,0.0
2016,Japanese Grand Prix,Wehrlein,Manor Marussia,22,0.0
2016,Malaysian Grand Prix,Ricciardo,Red Bull,1,25.0
2016,Malaysian Grand Prix,Verstappen,Red Bull,2,18.0
2016,Malaysian Grand Prix,Rosberg,Mercedes,3,15.0
2016,Malaysian Grand Prix,Räikkönen,Ferrari,4,12.0
2016,Malaysian Grand Prix,Bottas,Williams,5,10.0
2016,Malaysian Grand Prix,Pérez,Force India,6,8.0
2016,Malaysian Grand Prix,Alonso,McLaren,7,6.0
2016,Malaysian Grand Prix,Hülkenberg,Force India,8,4.0
2016,Malaysian Grand Prix,Button,McLaren,9,2.0
2016,Malaysian Grand Prix,Palmer,Renault,10,1.0
2016,Malaysian Grand Prix,Sainz,Toro Rosso,11,0.0
2016,Malaysian Grand Prix,Ericsson,Sauber,12,0.0
2016,Malaysian Grand Prix,Massa,Williams,13,0.0
2016,Malaysian Grand Prix,Kvyat,Toro Rosso,14,0.0
2016,Malaysian Grand Prix,Wehrlein,Manor Marussia,15,0.0
2016,Malaysian Grand Prix,Ocon,Manor Marussia,16,0.0
2016,Malaysian Grand Prix,Nasr,Sauber,17,0.0
2016,Malaysian Grand Prix,Hamilton,Mercedes,18,0.0
2016,Malaysian Grand Prix,Gutiérrez,Haas F1 Team,19,0.0
2016,Malaysian Grand Prix,Magnussen,Renault,20,0.0
2016,Malaysian Grand Prix,Grosjean,Haas F1 Team,21,0.0
2016,Malaysian Grand Prix,Vettel,Ferrari,22,0.0
2016,Mexican Grand Prix,Hamilton,Mercedes,1,25.0
2016,Mexican Grand Prix,Rosberg,Mercedes,2,18.0
2016,Mexican Grand Prix,Ricciardo,Red Bull,3,15.0
2016,Mexican Grand Prix,Verstappen,Red Bull,4,12.0
2016,Mexican Grand Prix,Vettel,Ferrari,5,10.0
2016,Mexican Grand Prix,Räikkönen,Ferrari,6,8.0
2016,Mexican Grand Prix,Hülkenberg,Force India,7,6.0
2016,Mexican Grand Prix,Bottas,Williams,8,4.0
2016,Mexican Grand Prix,Massa,Williams,9,2.0
2016,Mexican Grand Prix,Pérez,Force India,10,1.0
2016,Mexican Grand Prix,Ericsson,Sauber,11,0.0
2016,Mexican Grand Prix,Button,McLaren,12,0.0
2016,Mexican Grand Prix,Alonso,McLaren,13,0.0
2016,Mexican Grand Prix,Palmer,Renault,14,0.0
2016,Mexican Grand Prix,Nasr,Sauber,15,0.0
2016,Mexican Grand Prix,Sainz,Toro Rosso,16,0.0
2016,Mexican Grand Prix,Magnussen,Renault,17,0.0
2016,Mexican Grand Prix,Kvyat,Toro Rosso,18,0.0
2016,Mexican Grand Prix,Gutiérrez,Haas F1 Team,19,0.0
2016,Mexican Grand Prix,Grosjean,Haas F1 Team,20,0.0
2016,Mexican Grand Prix,Ocon,Manor Marussia,21,0.0
2016,Mexican Grand Prix,Wehrlein,Manor Marussia,22,0.0
2016,Monaco Grand Prix,Hamilton,Mercedes,1,25.0
2016,Monaco Grand Prix,Ricciardo,Red Bull,2,18.0
2016,Monaco Grand Prix,Pérez,Force India,3,15.0
2016,Monaco Grand Prix,Vettel,Ferrari,4,12.0
2016,Monaco Grand Prix,Alonso,McLaren,5,10.0
2016,Monaco Grand Prix,Hülkenberg,Force India,6,8.0
2016,Monaco Grand Prix,Rosberg,Mercedes,7,6.0
2016,Monaco Grand Prix,Sainz,Toro Rosso,8,4.0
2016,Monaco Grand Prix,Button,McLaren,9,2.0
2016,Monaco Grand Prix,Massa,Williams,10,1.0
2016,Monaco Grand Prix,Gutiérrez,Haas F1 Team,11,0.0
2016,Monaco Grand Prix,Bottas,Williams,12,0.0
2016,Monaco Grand Prix,Grosjean,Haas F1 Team,13,0.0
2016,Monaco Grand Prix,Wehrlein,Manor Marussia,14,0.0
2016,Monaco Grand Prix,Haryanto,Manor Marussia,15,0.0
2016,Monaco Grand Prix,Ericsson,Sauber,16,0.0
2016,Monaco Grand Prix,Nasr,Sauber,17,0.0
2016,Monaco Grand Prix,Verstappen,Red Bull,18,0.0
2016,Monaco Grand Prix,Magnussen,Renault,19,0.0
2016,Monaco Grand Prix,Kvyat,Toro Rosso,20,0.0
2016,Monaco Grand Prix,Räikkönen,Ferrari,21,0.0
2016,Monaco Grand Prix,Palmer,Renault,22,0.0
2016,Russian Grand Prix,Rosberg,Mercedes,1,25.0
2016,Russian Grand Prix,Hamilton,Mercedes,2,18.0
2016,Russian Grand Prix,Räikkönen,Ferrari,3,15.0
2016,Russian Grand Prix,Bottas,Williams,4,12.0
2016,Russian Grand Prix,Massa,Williams,5,10.0
2016,Russian Grand Prix,Alonso,McLaren,6,8.0
2016,Russian Grand Prix,Magnussen,Renault,7,6.0
2016,Russian Grand Prix,Grosjean,Haas F1 Team,8,4.0
2016,Russian Grand Prix,Pérez,Force India,9,2.0
2016,Russian Grand Prix,Button,McLaren,10,1.0
2016,Russian Grand Prix,Ricciardo,Red Bull,11,0.0
2016,Russian Grand Prix,Sainz,Toro Rosso,12,0.0
2016,Russian Grand Prix,Palmer,Renault,13,0.0
2016,Russian Grand Prix,Ericsson,Sauber,14,0.0
2016,Russian Grand Prix,Kvyat,Red Bull,15,0.0
2016,Russian Grand Prix,Nasr,Sauber,16,0.0
2016,Russian Grand Prix,Gutiérrez,Haas F1 Team,17,0.0
2016,Russian Grand Prix,Wehrlein,Manor Marussia,18,0.0
2016,Russian Grand Prix,Verstappen,Toro Rosso,19,0.0
2016,Russian Grand Prix,Vettel,Ferrari,20,0.0
2016,Russian Grand Prix,Hülkenberg,Force India,21,0.0
2016,Russian Grand Prix,Haryanto,Manor Marussia,22,0.0
2016,Singapore Grand Prix,Rosberg,Mercedes,1,25.0
2016,Singapore Grand Prix,Ricciardo,Red Bull,2,18.0
2016,Singapore Grand Prix,Hamilton,Mercedes,3,15.0
2016,Singapore Grand Prix,Räikkönen,Ferrari,4,12.0
2016,Singapore Grand Prix,Vettel,Ferrari,5,10.0
2016,Singapore Grand Prix,Verstappen,Red Bull,6,8.0
2016,Singapore Grand Prix,Alonso,McLaren,7,6.0
2016,Singapore Grand Prix,Pérez,Force India,8,4.0
2016,Singapore Grand Prix,Kvyat,Toro Rosso,9,2.0
2016,Singapore Grand Prix,Magnussen,Renault,10,1.0
2016,Singapore Grand Prix,Gutiérrez,Haas F1 Team,11,0.0
2016,Singapore Grand Prix,Massa,Williams,12,0.0
2016,Singapore Grand Prix,Nasr,Sauber,13,0.0
2016,Singapore Grand Prix,Sainz,Toro Rosso,14,0.0
2016,Singapore Grand Prix,Palmer,Renault,15,0.0
2016,Singapore Grand Prix,Wehrlein,Manor Marussia,16,0.0
2016,Singapore Grand Prix,Ericsson,Sauber,17,0.0
2016,Singapore Grand Prix,Ocon,Manor Marussia,18,0.0
2016,Singapore Grand Prix,Button,McLaren,19,0.0
2016,Singapore Grand Prix,Bottas,Williams,20,0.0
2016,Singapore Grand Prix,Hülkenberg,Force India,21,0.0
2016,Singapore Grand Prix,Grosjean,Haas F1 Team,22,0.0
2016,Spanish Grand Prix,Verstappen,Red Bull,1,25.0
2016,Spanish Grand Prix,Räikkönen,Ferrari,2,18.0
2016,Spanish Grand Prix,Vettel,Ferrari,3,15.0
2016,Spanish Grand Prix,Ricciardo,Red Bull,4,12.0
2016,Spanish Grand Prix,Bottas,Williams,5,10.0
2016,Spanish Grand Prix,Sainz,Toro Rosso,6,8.0
2016,Spanish Grand Prix,Pérez,Force India,7,6.0
2016,Spanish Grand Prix,Massa,Williams,8,4.0
2016,Spanish Grand Prix,Button,McLaren,9,2.0
2016,Spanish Grand Prix,Kvyat,Toro Rosso,10,1.0
2016,Spanish Grand Prix,Gutiérrez,Haas F1 Team,11,0.0
2016,Spanish Grand Prix,Ericsson,Sauber,12,0.0
2016,Spanish Grand Prix,Palmer,Renault,13,0.0
2016,Spanish Grand Prix,Magnussen,Renault,14,0.0
2016,Spanish Grand Prix,Nasr,Sauber,15,0.0
2016,Spanish Grand Prix,Wehrlein,Manor Marussia,16,0.0
2016,Spanish Grand Prix,Haryanto,Manor Marussia,17,0.0
2016,Spanish Grand Prix,Grosjean,Haas F1 Team,18,0.0
2016,Spanish Grand Prix,Alonso,McLaren,19,0.0
2016,Spanish Grand Prix,Hülkenberg,Force India,20,0.0
2016,Spanish Grand Prix,Hamilton,Mercedes,21,0.0
2016,Spanish Grand Prix,Rosberg,Mercedes,22,0.0
2016,United States Grand Prix,Hamilton,Mercedes,1,25.0
2016,United States Grand Prix,Rosberg,Mercedes,2,18.0
2016,United States Grand Prix,Ricciardo,Red Bull,3,15.0
2016,United States Grand Prix,Vettel,Ferrari,4,12.0
2016,United States Grand Prix,Alonso,McLaren,5,10.0
2016,United States Grand Prix,Sainz,Toro Rosso,6,8.0
2016,United States Grand Prix,Massa,Williams,7,6.0
2016,United States Grand Prix,Pérez,Force India,8,4.0
2016,United States Grand Prix,Button,McLaren,9,2.0
2016,United States Grand Prix,Grosjean,Haas F1 Team,10,1.0
2016,United States Grand Prix,Kvyat,Toro Rosso,11,0.0
2016,United States Grand Prix,Magnussen,Renault,12,0.0
2016,United States Grand Prix,Palmer,Renault,13,0.0
2016,United States Grand Prix,Ericsson,Sauber,14,0.0
2016,United States Grand Prix,Nasr,Sauber,15,0.0
2016,United States Grand Prix,Bottas,Williams,16,0.0
2016,United States Grand Prix,Wehrlein,Manor Marussia,17,0.0
2016,United States Grand Prix,Ocon,Manor Marussia,18,0.0
2016,United States Grand Prix,Räikkönen,Ferrari,19,0.0
2016,United States Grand Prix,Verstappen,Red Bull,20,0.0
2016,United States Grand Prix,Gutiérrez,Haas F1 Team,21,0.0
2016,United States Grand Prix,Hülkenberg,Force India,22,0.0
2017,Abu Dhabi Grand Prix,Bottas,Mercedes,1,25.0
2017,Abu Dhabi Grand Prix,Hamilton,Mercedes,2,18.0
2017,Abu Dhabi Grand Prix,Vettel,Ferrari,3,15.0
2017,Abu Dhabi Grand Prix,Räikkönen,Ferrari,4,12.0
2017,Abu Dhabi Grand Prix,Verstappen,Red Bull,5,10.0
2017,Abu Dhabi Grand Prix,Hülkenberg,Renault,6,8.0
2017,Abu Dhabi Grand Prix,Pérez,Force India,7,6.0
2017,Abu Dhabi Grand Prix,Ocon,Force India,8,4.0
2017,Abu Dhabi Grand Prix,Alonso,McLaren,9,2.0
2017,Abu Dhabi Grand Prix,Massa,Williams,10,1.0
2017,Abu Dhabi Grand Prix,Grosjean,Haas F1 Team,11,0.0
2017,Abu Dhabi Grand Prix,Vandoorne,McLaren,12,0.0
2017,Abu Dhabi Grand Prix,Magnussen,Haas F1 Team,13,0.0
2017,Abu Dhabi Grand Prix,Wehrlein,Sauber,14,0.0
2017,Abu Dhabi Grand Prix,Hartley,Toro Rosso,15,0.0
2017,Abu Dhabi Grand Prix,Gasly,Toro Rosso,16,0.0
2017,Abu Dhabi Grand Prix,Ericsson,Sauber,17,0.0
2017,Abu Dhabi Grand Prix,Stroll,Williams,18,0.0
2017,Abu Dhabi Grand Prix,Sainz,Renault,19,0.0
2017,Abu Dhabi Grand Prix,Ricciardo,Red Bull,20,0.0
2017,Australian Grand Prix,Vettel,Ferrari,1,25.0
2017,Australian Grand Prix,Hamilton,Mercedes,2,18.0
2017,Australian Grand Prix,Bottas,Mercedes,3,15.0
2017,Australian Grand Prix,Räikkönen,Ferrari,4,12.0
2017,Australian Grand Prix,Verstappen,Red Bull,5,10.0
2017,Australian Grand Prix,Massa,Williams,6,8.0
2017,Australian Grand Prix,Pérez,Force India,7,6.0
2017,Australian Grand Prix,Sainz,Toro Rosso,8,4.0
2017,Australian Grand Prix,Kvyat,Toro Rosso,9,2.0
2017,Australian Grand Prix,Ocon,Force India,10,1.0
2017,Australian Grand Prix,Hülkenberg,Renault,11,0.0
2017,Australian Grand Prix,Giovinazzi,Sauber,12,0.0
2017,Australian Grand Prix,Vandoorne,McLaren,13,0.0
2017,Australian Grand Prix,Alonso,McLaren,14,0.0
2017,Australian Grand Prix,Magnussen,Haas F1 Team,15,0.0
2017,Australian Grand Prix,Stroll,Williams,16,0.0
2017,Australian Grand Prix,Ricciardo,Red Bull,17,0.0
2017,Australian Grand Prix,Ericsson,Sauber,18,0.0
2017,Australian Grand Prix,Palmer,Renault,19,0.0
2017,Australian Grand Prix,Grosjean,Haas F1 Team,20,0.0
2017,Austrian Grand Prix,Bottas,Mercedes,1,25.0
2017,Austrian Grand Prix,Vettel,Ferrari,2,18.0
2017,Austrian Grand Prix,Ricciardo,Red Bull,3,15.0
2017,Austrian Grand Prix,Hamilton,Mercedes,4,12.0
2017,Austrian Grand Prix,Räikkönen,Ferrari,5,10.0
2017,Austrian Grand Prix,Grosjean,Haas F1 Team,6,8.0
2017,Austrian Grand Prix,Pérez,Force India,7,6.0
2017,Austrian Grand Prix,Ocon,Force India,8,4.0
2017,Austrian Grand Prix,Massa,Williams,9,2.0
2017,Austrian Grand Prix,Stroll,Williams,10,1.0
2017,Austrian Grand Prix,Palmer,Renault,11,0.0
2017,Austrian Grand Prix,Vandoorne,McLaren,12,0.0
2017,Austrian Grand Prix,Hülkenberg,Renault,13,0.0
2017,Austrian Grand Prix,Wehrlein,Sauber,14,0.0
2017,Austrian Grand Prix,Ericsson,Sauber,15,0.0
2017,Austrian Grand Prix,Kvyat,Toro Rosso,16,0.0
2017,Austrian Grand Prix,Sainz,Toro Rosso,17,0.0
2017,Austrian Grand Prix,Magnussen,Haas F1 Team,18,0.0
2017,Austrian Grand Prix,Alonso,McLaren,19,0.0
2017,Austrian Grand Prix,Verstappen,Red Bull,20,0.0
2017,Azerbaijan Grand Prix,Ricciardo,Red Bull,1,25.0
2017,Azerbaijan Grand Prix,Bottas,Mercedes,2,18.0
2017,Azerbaijan Grand Prix,Stroll,Williams,3,15.0
2017,Azerbaijan Grand Prix,Vettel,Ferrari,4,12.0
2017,Azerbaijan Grand Prix,Hamilton,Mercedes,5,10.0
2017,Azerbaijan Grand Prix,Ocon,Force India,6,8.0
2017,Azerbaijan Grand Prix,Magnussen,Haas F1 Team,7,6.0
2017,Azerbaijan Grand Prix,Sainz,Toro Rosso,8,4.0
2017,Azerbaijan Grand Prix,Alonso,McLaren,9,2.0
2017,Azerbaijan Grand Prix,Wehrlein,Sauber,10,1.0
2017,Azerbaijan Grand Prix,Ericsson,Sauber,11,0.0
2017,Azerbaijan Grand Prix,Vandoorne,McLaren,12,0.0
2017,Azerbaijan Grand Prix,Grosjean,Haas F1 Team,13,0.0
2017,Azerbaijan Grand Prix,Räikkönen,Ferrari,14,0.0
2017,Azerbaijan Grand Prix,Pérez,Force India,15,0.0
2017,Azerbaijan Grand Prix,Massa,Williams,16,0.0
2017,Azerbaijan Grand Prix,Hülkenberg,Renault,17,0.0
2017,Azerbaijan Grand Prix,Verstappen,Red Bull,18,0.0
2017,Azerbaijan Grand Prix,Kvyat,Toro Rosso,19,0.0
2017,Azerbaijan Grand Prix,Palmer,Renault,20,0.0
2017,Bahrain Grand Prix,Vettel,Ferrari,1,25.0
2017,Bahrain Grand Prix,Hamilton,Mercedes,2,18.0
2017,Bahrain Grand Prix,Bottas,Mercedes,3,15.0
2017,Bahrain Grand Prix,Räikkönen,Ferrari,4,12.0
2017,Bahrain Grand Prix,Ricciardo,Red Bull,5,10.0
2017,Bahrain Grand Prix,Massa,Williams,6,8.0
2017,Bahrain Grand Prix,Pérez,Force India,7,6.0
2017,Bahrain Grand Prix,Grosjean,Haas F1 Team,8,4.0
2017,Bahrain Grand Prix,Hülkenberg,Renault,9,2.0
2017,Bahrain Grand Prix,Ocon,Force India,10,1.0
2017,Bahrain Grand Prix,Wehrlein,Sauber,11,0.0
2017,Bahrain Grand Prix,Kvyat,Toro Rosso,12,0.0
2017,Bahrain Grand Prix,Palmer,Renault,13,0.0
2017,Bahrain Grand Prix,Alonso,McLaren,14,0.0
2017,Bahrain Grand Prix,Ericsson,Sauber,15,0.0
2017,Bahrain Grand Prix,Sainz,Toro Rosso,16,0.0
2017,Bahrain Grand Prix,Stroll,Williams,17,0.0
2017,Bahrain Grand Prix,Verstappen,Red Bull,18,0.0
2017,Bahrain Grand Prix,Magnussen,Haas F1 Team,19,0.0
2017,Bahrain Grand Prix,Vandoorne,McLaren,20,0.0
2017,Belgian Grand Prix,Hamilton,Mercedes,1,25.0
2017,Belgian Grand Prix,Vettel,Ferrari,2,18.0
2017,Belgian Grand Prix,Ricciardo,Red Bull,3,15.0
2017,Belgian Grand Prix,Räikkönen,Ferrari,4,12.0
2017,Belgian Grand Prix,Bottas,Mercedes,5,10.0
2017,Belgian Grand Prix,Hülkenberg,Renault,6,8.0
2017,Belgian Grand Prix,Grosjean,Haas F1 Team,7,6.0
2017,Belgian Grand Prix,Massa,Williams,8,4.0
2017,Belgian Grand Prix,Ocon,Force India,9,2.0
2017,Belgian Grand Prix,Sainz,Toro Rosso,10,1.0
2017,Belgian Grand Prix,Stroll,Williams,11,0.0
2017,Belgian Grand Prix,Kvyat,Toro Rosso,12,0.0
2017,Belgian Grand Prix,Palmer,Renault,13,0.0
2017,Belgian Grand Prix,Vandoorne,McLaren,14,0.0
2017,Belgian Grand Prix,Magnussen,Haas F1 Team,15,0.0
2017,Belgian Grand Prix,Ericsson,Sauber,16,0.0
2017,Belgian Grand Prix,Pérez,Force India,17,0.0
2017,Belgian Grand Prix,Alonso,McLaren,18,0.0
2017,Belgian Grand Prix,Verstappen,Red Bull,19,0.0
2017,Belgian Grand Prix,Wehrlein,Sauber,20,0.0
2017,Brazilian Grand Prix,Vettel,Ferrari,1,25.0
2017,Brazilian Grand Prix,Bottas,Mercedes,2,18.0
2017,Brazilian Grand Prix,Räikkönen,Ferrari,3,15.0
2017,Brazilian Grand Prix,Hamilton,Mercedes,4,12.0
2017,Brazilian Grand Prix,Verstappen,Red Bull,5,10.0
2017,Brazilian Grand Prix,Ricciardo,Red Bull,6,8.0
2017,Brazilian Grand Prix,Massa,Williams,7,6.0
2017,Brazilian Grand Prix,Alonso,McLaren,8,4.0
